"GEOG","SCHOOLS","YEAR","ENR","ENR_HS_TOT","STU_TEACH_RAT","ENR_AP","SCH_FTETEACH_TOT","SCH_APCOURSES_TOT","SCH_APCOURSES_MODE","SCH_APCOURSES_MEAN","PCT_ENR_WH","PCT_ENR_BL","PCT_ENR_AS","PCT_ENR_HI","PCT_ENR_OTH","PCT_ENR_NON_WH","PCT_ENR_AP","ENR_AP_GAP_BL","ENR_AP_GAP_AS","ENR_AP_GAP_HI"
"NATIONAL",95634,2011,49756058,14047839,NA,2462051,0,0,NA,NA,0.515643763418718,0.158782916444064,0.0469391284976796,0.23536315919561,0.0432710324439287,0.484356236581282,0.0494824368924082,1.77544188152474,0.492054086325717,1.30226421731543
"NATIONAL",95496,2013,50035746,14145719,15.9412739043262,2531433,3138754.55,0,NA,NA,0.502989462773274,0.154976304340501,0.0482640150903316,0.247396031629068,0.046374146195402,0.497010537226726,0.0505924904167513,1.74289811444937,0.46757415157612,1.2107114844776
"NATIONAL",96360,2015,50574476,11502642,15.7027587314264,2808786,3220738.27058069,0,NA,NA,0.487962149128347,0.154344634238029,0.049815503773089,0.257734771191698,0.0501421705288652,0.512037850871653,0.0555376194110246,1.73781586692895,0.356064883359601,0.867206016771916
"NATIONAL",97622,2017,50922401,14656527,15.319228001522,3030991,3324084.02009166,142962,1,10.3535631517961,0.473196953144452,0.151145936736172,0.0515708008347839,0.27222759979444,0.0518587094901515,0.526803046855548,0.059521761356068,1.66920253774736,0.475480601525642,1.14480292512737
"NATIONAL",97217,2020,49150566,14974050,14.6096971179466,2917493,3364242.63988493,146207,1,10.415087619319,0.456693520070552,0.150523149621512,0.0534810117954695,0.285461493973437,0.0568139744311388,0.543306479929448,0.0593582788039511,1.58101815903022,0.450993154566656,1.16225114010786
"NATIONAL",96148,2021,48595901,15089345,14.3978210639115,2844626,3375226.06957567,144795,1,10.2851967609035,0.451623543310783,0.148100906699929,0.0537299637679318,0.286322482219231,0.0602230834242584,0.548376456689218,0.0585363362230901,1.61742519811348,0.428557068408615,1.22718065392222
