"GEOG","LEA_STATE","SCHOOLS","YEAR","ENR","ENR_HS_TOT","STU_TEACH_RAT","ENR_AP","SCH_FTETEACH_TOT","SCH_APCOURSES_TOT","SCH_APCOURSES_MODE","SCH_APCOURSES_MEAN","PCT_ENR_WH","PCT_ENR_BL","PCT_ENR_AS","PCT_ENR_HI","PCT_ENR_OTH","PCT_ENR_NON_WH","PCT_ENR_AP","ENR_AP_GAP_BL","ENR_AP_GAP_AS","ENR_AP_GAP_HI"
"STATE","AR",1085,2013,481569,133293,13.7756687035907,26486,34957.94,0,NA,NA,0.636226584352398,0.203547155236321,0.0156716898305331,0.111961110453538,0.0325934601272092,0.363773415647602,0.0549993874190407,1.66168213212991,0.527057035697804,1.27730757106073
"STATE","AR",1092,2015,485821,0,14.1641748789549,30370,34299.2799899578,0,NA,NA,0.619487424380585,0.202576669184741,0.0164505033746997,0.122652170243773,0.0388332328162019,0.380512575619415,0.0625127361723763,NA,NA,NA
"STATE","AR",1088,2017,496573,143487,14.2381501451256,30154,34876.2300536633,2179,5,8.13059701492537,0.608544967205225,0.204360688156626,0.0162916630586037,0.130077551538243,0.0407251300413031,0.391455032794775,0.0607242036921057,1.41327790279968,0.551187844188611,1.1656831749541
"STATE","AR",1069,2020,481443,142461,12.4925885322359,28291,38538.2900235355,2346,5,8.68888888888889,0.597811163522992,0.196953741149004,0.01734577094277,0.137318436450421,0.0513435650741625,0.402188836477008,0.0587629272831883,1.63759086521465,0.440765843197268,1.09693824788162
"STATE","AR",1049,2021,484189,144424,11.8513954974225,25406,40855.0199936628,2040,5,7.81609195402299,0.59580453087534,0.19415352269465,0.0174642546608866,0.138193969710175,0.0543837220589481,0.40419546912466,0.0524712457325548,1.68581741459732,0.46025869669766,1.10322068941844
"STATE","AZ",1920,2011,1100119,310841,NA,45087,0,0,NA,NA,0.426947448412399,0.0532851446070834,0.0285987243198236,0.419459167599142,0.0717095150615524,0.573052551587601,0.0409837481217941,1.65568693774616,0.454620042897674,2.0204876761519
"STATE","AZ",1913,2013,1103654,318333,19.3728768069247,47789,56969.03,0,NA,NA,0.409918325852124,0.0511238123542342,0.0282960058134162,0.43617111884703,0.0744907371331957,0.590081674147876,0.0433007083741825,1.55057779295995,0.458558038427882,1.61797731426216
"STATE","AZ",1977,2015,1134663,0,19.6261551274748,51166,57813.8200085647,0,NA,NA,0.39526802231147,0.053212275362817,0.028575004208298,0.444368944788012,0.0785757533294027,0.60473197768853,0.0450935652259746,NA,NA,NA
"STATE","AZ",2000,2017,1146677,327661,18.8365862637336,60290,60874.9899766985,2567,1,11.9953271028037,0.384725602763463,0.0539716066512191,0.0293238636512287,0.450637799484946,0.0813411274491422,0.615274397236537,0.0525780145585897,1.36739939870109,0.47590027231845,1.30139316699185
"STATE","AZ",2024,2020,1089578,347673,17.564631448022,48369,62032.4999829531,2672,2,11.9820627802691,0.371477764786,0.0568467792117682,0.0302612571105511,0.470815306476452,0.0849567447213508,0.628522235214,0.0443924161464347,1.66096887910692,0.478180957675638,1.64939110727404
